City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
637,Najran,SA,17.4924,44.1277,64.65,18,0,5.93,clear sky
638,Eldorado,BR,-23.7869,-54.2836,75.07,82,87,6.17,overcast clouds
639,Honiara,SB,-9.4333,159.95,77.54,91,100,6.11,moderate rain
640,Havoysund,NO,70.9963,24.6622,28.63,62,100,7.78,light snow
641,Jacmel,HT,18.2342,-72.5347,85.84,62,7,7.72,clear sky
642,Cairns,AU,-16.9167,145.7667,75.07,97,100,11.5,light intensity shower rain
643,Launceston,AU,-41.45,147.1667,67.64,90,100,9.22,overcast clouds
644,Boden,SE,65.8252,21.6886,10.4,91,45,1.92,scattered clouds
645,Linares,CL,-35.85,-71.6,86.27,31,0,5.88,clear sky
646,Zhezkazgan,KZ,47.8043,67.7144,9.95,80,98,12.73,overcast clouds
647,Mareeba,AU,-17.0,145.4333,70.45,96,100,5.79,light rain
648,Pozzallo,IT,36.7305,14.8499,54.21,80,100,13.0,overcast clouds
649,Kajaani,FI,64.2273,27.7285,21.25,93,100,6.91,overcast clouds
650,Souillac,MU,-20.5167,57.5167,79.18,83,75,4.61,broken clouds
651,Codrington,AU,-38.2667,141.9667,61.48,93,19,10.25,few clouds
